OrderID,OrderDate,CustomerID,CustomerName,Segment,Country,Region,Category,Product,Quantity,UnitPrice,Discount,ShippingCost,PaymentMethod,OrderStatus
ORD-106077,2024-03-28,CUST-00671,Patricia Smith,Consumer, united states ,North America,Electronics,Laptop Stand,1,75.78,0.0,10.25,Debit Card,Completed
ORD-105212,2024-05-27,CUST-00500,Hiro Silva,Consumer,Italy,Europe,Office,Desk Organizer,1,67.86,0.0,14.65,Bank Transfer,Completed
ORD-100617,2024-09-15,CUST-00375,Carlos Costa,Consumer,Germany,Europe,Electronics,Headphones,1,123.44,0.15,6.58,Credit Card,Completed
ORD-105983,2024-01-04,CUST-00023,Robert Zhang,Consumer,United States,North America,Beauty,Face Serum,2,10.55,0.1,10.46,Credit Card,Completed
ORD-106801,2024-04-22,CUST-00352,Ana Williams,Consumer,Italy,Europe,Apparel,Running Shoes,1,19.96,0.0,10.56,Credit Card,Completed
ORD-104813,2024-06-29,CUST-00275,Patricia Garcia,Small Business,Singapore,Asia,Office,Desk Organizer,2,34.78,0.2,20.16,Credit Card,Completed
ORD-102919,2023-09-23,CUST-00799,Elizabeth Zhang,Enterprise,Canada,North America,Apparel,T-Shirt,1,54.71,0.0,19.7,Bank Transfer,Completed
ORD-104712,2023-08-26,CUST-00618,Linda Dubois,Consumer,India,Asia,Apparel,Wool Socks,1,30.34,0.0,5.05,Credit Card,Completed
ORD-102923,2024-03-27,CUST-00296,Wei Davis,Consumer,United States,North America,Electronics,USB-C Cable,1,214.45,0.1,11.5,Credit Card,Completed
ORD-100763,2024-06-24,CUST-00329,Chen Brown,Enterprise,United Kingdom,Europe,Home & Kitchen,Storage Bin,1,59.89,0.2,21.78,PayPal,Completed
ORD-102209,2024-05-04,CUST-00094,Hiro Rossi,Consumer,United States,North America,Sports & Outdoors,Yoga Mat,2,155.49,0.1,15.9,Debit Card,Completed
ORD-106395,2023-04-13,CUST-00523,Ana Johnson,Consumer,Germany,Europe,Apparel,Denim Jacket,1,83.55,0.0,10.67,Credit Card,Completed
ORD-101127,2024-04-03,CUST-00097,Ines Kumar,Consumer,SINGAPORE,Asia,Beauty,Face Serum,1,21.3,0.0,8.93,PayPal,Returned
ORD-104769,2024-11-15,CUST-00839,Carlos Jones,Small Business,United States,North America,Electronics,Smartphone Case,4,190.22,0.0,3.38,Bank Transfer,Completed
ORD-102630,2024-08-14,CUST-00199,Noah Smith,Consumer,India,Asia,Apparel,T-Shirt,1,57.02,0.0,20.79,Bank Transfer,Returned
ORD-105892,2024-02-12,CUST-00525,Ana Zhang,Small Business,United States,North America,Beauty,Hair Dryer,1,23.36,0.0,20.22,PayPal,Cancelled
ORD-105063,2024-08-28,CUST-00272,Olivia Zhang,Consumer,Australia,Oceania,Home & Kitchen,Cutting Board,3,101.24,0.0,16.19,Credit Card,Completed
ORD-106858,2023-12-02,CUST-00795,Sofia Brown,Consumer,United States,North America,Office,Desk Organizer,1,40.99,0.15,20.61,Credit Card,Completed
ORD-104746,2023-09-18,CUST-00221,Patricia Garcia,Enterprise,UNITED STATES,North America,Beauty,Face Serum,2,6.23,0.05,16.47,Credit Card,Completed
ORD-103939,2024-07-20,CUST-00335,Hiro Williams,Consumer,Spain,Europe,Beauty,Hair Dryer,1,35.46,0.0,19.92,Bank Transfer,Completed
ORD-105540,2024-06-18,CUST-00565,Hiro Jones,,Italy,Europe,Apparel,T-Shirt,1,70.54,0.0,22.56,Bank Transfer,Completed
ORD-102269,2023-09-27,CUST-00319,Mary Dubois,Enterprise,Japan,Asia,Home & Kitchen,Blender,1,86.3,0.0,2.42,PayPal,Completed
ORD-105518,2023-09-22,CUST-00578,Raj Johnson,,Canada,North America,Office,Standing Desk Mat,1,21.77,0.1,16.16,Bank Transfer,Completed
ORD-104644,2024-07-29,CUST-00524,Liam Martinez,Consumer,France,Europe,Beauty,Shampoo,1,41.33,0.0,9.93,Credit Card,Completed
ORD-103111,2024-04-02,CUST-00653,Jennifer Zhang,Consumer,Singapore,Asia,Sports & Outdoors,Resistance Bands,1,103.56,0.0,13.77,PayPal,Completed
ORD-104666,2024-06-09,CUST-00161,John Rodriguez,Consumer,France,Europe,Home & Kitchen,Coffee Maker,1,68.99,0.1,19.47,Credit Card,Completed
ORD-101565,2024-05-10,CUST-00566,Linda Kumar,Consumer,Japan,Asia,Electronics,Smartphone Case,1,19.72,0.0,2.46,Credit Card,Completed
ORD-104966,2023-11-18,CUST-00679,Ana Williams,Small Business,Brazil,South America,Electronics,Headphones,1,142.69,0.0,14.56,Credit Card,Completed
ORD-100511,2024-07-22,CUST-00513,Linda Khan,,Japan,Asia,Sports & Outdoors,Camping Tent,2,26.13,0.05,9.8,Debit Card,Completed
ORD-106108,2024-04-16,CUST-00816,Chen Zhang,Consumer,UNITED KINGDOM,Europe,Sports & Outdoors,Water Bottle,4,91.22,0.1,19.05,PayPal,Completed
ORD-102291,2024-02-24,CUST-00447,,Consumer,United States,North America,Home & Kitchen,Cutting Board,1,98.77,0.0,10.29,Debit Card,Completed
ORD-103944,2023-11-19,CUST-00223,Ahmed Costa,Enterprise,United Kingdom,Europe,Sports & Outdoors,Camping Tent,1,159.32,0.0,24.8,Credit Card,Completed
ORD-103468,2024-08-13,CUST-00280,Carlos Nakamura,Consumer,France,Europe,Beauty,Hair Dryer,1,46.56,0.0,22.95,Credit Card,Completed
ORD-100103,2024-11-09,CUST-00411,Wei Jones,Consumer,United States,North America,Apparel,Running Shoes,1,44.66,0.0,14.71,PayPal,Completed
ORD-102954,2024-09-21,CUST-00421,Sofia Smith,Consumer,United Kingdom,Europe,Electronics,USB-C Cable,1,127.98,0.0,18.44,PayPal,Completed
ORD-105651,2024-08-27,CUST-00413,Ahmed Jones,Consumer,United States,North America,Electronics,Bluetooth Speaker,1,198.92,0.0,3.12,Credit Card,Completed
ORD-100474,2024-03-14,CUST-00075,Emma Muller,Enterprise,United Kingdom,Europe,Sports & Outdoors,Hiking Backpack,1,38.55,0.0,4.43,PayPal,Completed
ORD-100664,2024-05-14,CUST-00197,Elizabeth Brown,Consumer,Brazil,South America,Electronics,Headphones,1,141.59,0.2,11.55,Credit Card,Completed
ORD-102458,2024-08-02,CUST-00543,John Davis,Consumer, united states ,North America,Electronics,Headphones,1,98.91,0.0,5.2,Debit Card,Completed
ORD-104552,2024-04-29,CUST-00598,Michael Miller,Consumer,INDIA,Asia,Electronics,Smartphone Case,1,88.03,0.0,5.79,Credit Card,Completed
ORD-103869,2023-10-14,CUST-00226,Mary Davis,Enterprise,Germany,Europe,Sports & Outdoors,Resistance Bands,2,133.39,0.0,14.02,PayPal,Completed
ORD-102946,2024-09-29,CUST-00276,Jennifer Smith,Consumer,Canada,North America,Electronics,Bluetooth Speaker,1,23.62,0.1,5.69,Credit Card,Completed
ORD-102748,2024-07-31,CUST-00457,Olivia Brown,Consumer,United States,North America,Electronics,Headphones,1,53.02,0.0,16.76,Credit Card,Completed
ORD-106736,2023-03-20,CUST-00369,Linda Williams,Small Business,United States,North America,Sports & Outdoors,Camping Tent,1,124.87,0.1,5.19,Bank Transfer,Completed
ORD-101407,2024-07-04,CUST-00226,Mary Davis,Enterprise,Germany,Europe,Beauty,Shampoo,1,52.28,0.05,19.3,Credit Card,Completed
ORD-102766,2023-11-11,CUST-00136,Mary Rossi,Consumer,Singapore,Asia,Apparel,Wool Socks,1,51.41,0.0,15.22,Credit Card,Cancelled
ORD-102773,2024-03-23,CUST-00049,Noah Martinez,Consumer,United Kingdom,Europe,Apparel,Wool Socks,1,12.15,0.1,15.6,Bank Transfer,Completed
ORD-102040,2023-07-28,CUST-00429,Priya Dubois,Enterprise,United Kingdom,Europe,Beauty,Lip Balm,1,17.97,0.1,21.9,Credit Card,Completed
ORD-101223,2023-12-22,CUST-00096,Tom Rodriguez,Consumer,United Kingdom,Europe,Electronics,Smartphone Case,1,176.43,0.2,23.33,Credit Card,Completed
ORD-105175,2023-07-29,CUST-00801,Lucas Zhang,Small Business,India,Asia,Beauty,Sunscreen SPF50,3,52.62,0.0,4.76,PayPal,Completed
ORD-105213,2024-11-13,CUST-00569,Mia Martinez,Enterprise,United States,North America,Office,Notebook Set,2,18.31,0.1,7.07,Bank Transfer,Completed
ORD-106686,2023-01-03,CUST-00344,Priya Rodriguez,Consumer,India,Asia,Electronics,Headphones,4,85.27,0.05,7.24,Credit Card,Cancelled
ORD-100245,2024-06-12,CUST-00447,Tom Rossi,Consumer,United States,North America,Sports & Outdoors,Camping Tent,1,28.84,0.0,10.37,PayPal,Returned
ORD-101214,2023-09-16,CUST-00103,Hiro Davis,Small Business,Canada,North America,Home & Kitchen,Storage Bin,2,101.12,0.0,4.91,PayPal,Completed
ORD-102142,2023-05-02,CUST-00021,Sofia Muller,Consumer,France,Europe,Apparel,Baseball Cap,1,21.78,0.0,6.46,Credit Card,Completed
ORD-103757,2024-03-14,CUST-00736,Patricia Zhang,Small Business,Germany,Europe,Electronics,Headphones,2,89.71,0.0,19.0,Bank Transfer,Returned
ORD-103788,2023-07-27,CUST-00732,Linda Johnson,Consumer,Japan,Asia,Electronics,Headphones,3,173.7,0.1,23.61,PayPal,Completed
ORD-102655,2024-06-07,CUST-00110,Noah Kumar,Small Business,United Kingdom,Europe,Office,Notebook Set,1,7.52,0.0,20.62,Credit Card,Completed
ORD-106986,2024-08-27,CUST-00663,Patricia Garcia,Small Business,Mexico,South America,Electronics,Laptop Stand,1,130.22,0.0,16.0,Credit Card,Completed
ORD-104898,2024-09-26,CUST-00847,Elizabeth Smith,Consumer,Germany,Europe,Electronics,Laptop Stand,1,177.95,0.0,21.51,Bank Transfer,Completed
ORD-105103,2024-05-22,CUST-00761,Liam Rodriguez,Consumer,United Kingdom,Europe,Beauty,Lip Balm,2,50.94,0.05,12.29,Gift Card,Completed
ORD-106372,2024-11-05,CUST-00685,Robert Martinez,Small Business,United Kingdom,Europe,Beauty,Shampoo,1,12.62,0.1,21.08,Credit Card,Completed
ORD-101790,2024-09-05,CUST-00547,Robert Jones,,India,Asia,Electronics,Laptop Stand,1,195.83,0.1,3.58,Credit Card,Completed
ORD-100446,2024-09-13,CUST-00119,Liam Martinez,Consumer,India,Asia,Electronics,Smartphone Case,1,194.46,0.0,10.11,Credit Card,Returned
ORD-103620,2024-08-20,CUST-00590,Robert Johnson,Consumer,Singapore,Asia,Electronics,USB-C Cable,1,66.46,0.0,4.69,Credit Card,Completed
ORD-101683,2023-12-22,CUST-00401,James Zhang,Consumer,Singapore,Asia,Electronics,USB-C Cable,4,18.99,0.0,13.25,Bank Transfer,Completed
ORD-100831,2023-12-26,CUST-00581,Hiro Jones,Consumer,United States,North America,Home & Kitchen,Coffee Maker,1,149.5,0.0,23.29,Credit Card,Completed
ORD-102851,2023-08-19,CUST-00561,,Small Business,India,Asia,Beauty,Lip Balm,1,6.71,0.0,,Bank Transfer,Cancelled
ORD-104362,2023-06-26,CUST-00330,Noah Johnson,Consumer,Japan,Asia,Sports & Outdoors,Camping Tent,1,17.59,0.0,17.66,Credit Card,Completed
ORD-106847,2024-01-09,CUST-00589,Jennifer Williams,Consumer,MEXICO,South America,Electronics,Smartphone Case,1,109.29,0.0,13.05,Credit Card,Completed
ORD-100597,2024-11-21,CUST-00783,Grace Rossi,Small Business,United States,North America,Sports & Outdoors,Hiking Backpack,3,18.66,0.0,16.99,Credit Card,Completed
ORD-102335,2024-01-07,CUST-00846,Ines Zhang,Small Business,United Kingdom,Europe,Electronics,Laptop Stand,1,80.13,0.1,10.66,Credit Card,Completed
ORD-104037,2023-06-27,CUST-00226,Mary Davis,Enterprise,Germany,Europe,Beauty,Sunscreen SPF50,1,55.08,0.0,7.69,Bank Transfer,Completed
ORD-104814,2024-07-11,CUST-00196,Lucas Silva,Consumer,United Kingdom,Europe,Beauty,Shampoo,1,12.54,0.0,17.87,Credit Card,Completed
ORD-106302,2024-08-18,CUST-00260,Sofia Brown,Small Business,Australia,Oceania,Home & Kitchen,Coffee Maker,1,113.18,0.05,2.31,Credit Card,Completed
ORD-102422,2024-10-13,CUST-00791,Linda Martinez,Consumer,United Kingdom,Europe,Electronics,Bluetooth Speaker,4,203.44,0.0,11.91,PayPal,Returned
ORD-106500,2024-05-17,CUST-00619,Liam Costa,Enterprise,CANADA,North America,Beauty,Face Serum,1,46.23,0.0,7.76,PayPal,Completed
ORD-105375,2024-11-06,CUST-00032,John Davis,Consumer,Spain,Europe,Sports & Outdoors,Water Bottle,1,64.72,0.0,22.53,PayPal,Completed
ORD-106537,2023-08-01,CUST-00824,David Miller,Consumer,Australia,Oceania,Beauty,Lip Balm,5,25.7,0.0,13.28,Credit Card,Completed
ORD-103409,2024-08-31,CUST-00087,Raj Johnson,Consumer,United States,North America,Beauty,Face Serum,3,25.39,0.1,19.81,Credit Card,Completed
ORD-103158,2024-08-31,CUST-00571,Emma Khan,Consumer,Mexico,South America,Beauty,Sunscreen SPF50,1,16.42,0.0,10.54,Debit Card,Completed
ORD-102588,2024-07-03,CUST-00372,Raj Dubois,Enterprise,United States,North America,Beauty,Shampoo,1,33.81,0.0,10.05,PayPal,Completed
ORD-102157,2024-05-12,CUST-00154,Linda Silva,Consumer,United States,North America,Apparel,T-Shirt,1,56.97,0.05,7.57,Bank Transfer,Completed
ORD-104413,2024-11-13,CUST-00129,John Davis,Enterprise,India,Asia,Electronics,Headphones,2,52.85,0.05,8.13,Debit Card,Completed
ORD-104057,2024-07-13,CUST-00405,Wei Zhang,Consumer,Canada,North America,Electronics,Laptop Stand,1,18.55,0.0,19.78,PayPal,Completed
ORD-102729,2024-09-15,CUST-00073,Fatima Williams,Consumer,Brazil,South America,Electronics,USB-C Cable,1,108.7,0.0,21.52,Credit Card,Completed
ORD-106834,2023-06-12,CUST-00649,John Costa,Enterprise,United States,North America,Home & Kitchen,Throw Pillow,1,83.55,0.15,14.09,Gift Card,Completed
ORD-102681,2024-05-05,CUST-00139,Chen Smith,Consumer,UNITED STATES,North America,Office,Wireless Mouse,2,47.47,0.0,5.04,Debit Card,Completed
ORD-103294,2023-11-10,CUST-00331,Mia Silva,Small Business,Japan,Asia,Home & Kitchen,Storage Bin,3,134.82,0.1,4.81,Debit Card,Completed
ORD-100666,2023-08-13,CUST-00539,Ana Costa,Consumer,United States,North America,Office,Desk Organizer,1,11.4,0.0,2.17,Credit Card,Cancelled
ORD-101258,2023-09-24,CUST-00709,Ines Davis,Consumer,United Kingdom,Europe,Electronics,Bluetooth Speaker,2,140.36,0.0,22.93,Credit Card,Completed
ORD-100182,2024-07-27,CUST-00578,Raj Johnson,Small Business,Canada,North America,Electronics,USB-C Cable,1,158.38,0.15,20.56,Credit Card,Completed
ORD-102393,2024-04-30,CUST-00704,Emma Brown,Consumer,FRANCE,Europe,Apparel,Denim Jacket,1,81.9,0.0,9.93,PayPal,Completed
ORD-101562,2024-01-23,CUST-00405,Wei Zhang,Consumer,Canada,North America,Electronics,Laptop Stand,1,41.27,0.0,4.5,Bank Transfer,Completed
ORD-101916,2024-02-29,CUST-00429,Priya Dubois,Enterprise,United Kingdom,Europe,Office,Desk Organizer,1,53.05,0.0,17.09,Bank Transfer,Completed
ORD-100523,2024-06-05,CUST-00720,Ana Garcia,Consumer,United States,North America,Apparel,Wool Socks,2,50.14,0.0,14.37,Credit Card,Completed
ORD-101525,2023-10-09,CUST-00319,Mary Dubois,Enterprise,Japan,Asia,Sports & Outdoors,Resistance Bands,4,153.13,0.2,3.74,PayPal,Completed
ORD-103113,2023-09-18,CUST-00611,Noah Martinez,Enterprise,Germany,Europe,Electronics,Smartphone Case,1,161.05,0.0,13.39,Credit Card,Returned
ORD-105603,2023-06-12,CUST-00714,Ana Costa,Enterprise,Germany,Europe,Apparel,Running Shoes,1,36.91,0.0,2.01,Debit Card,Completed
ORD-105600,2023-06-28,CUST-00757,Robert Tanaka,Small Business,Spain,Europe,Sports & Outdoors,Yoga Mat,1,97.9,0.0,24.63,Credit Card,Completed
ORD-101164,2024-02-24,CUST-00443,Grace Davis,Consumer,Canada,North America,Electronics,Bluetooth Speaker,1,197.68,0.0,4.59,Credit Card,Completed
ORD-106241,2023-12-09,CUST-00295,Olivia Dubois,Consumer,United States,North America,Electronics,Headphones,2,67.53,0.0,8.5,Credit Card,Completed
ORD-106855,2024-10-14,CUST-00663,Patricia Garcia,Small Business, mexico ,South America,Beauty,Sunscreen SPF50,2,41.67,0.0,14.43,PayPal,Completed
ORD-103284,2023-08-27,CUST-00785,,Consumer,Germany,Europe,Beauty,Face Serum,1,13.63,0.0,18.19,Debit Card,Completed
ORD-100333,2023-01-22,CUST-00408,James Jones,Enterprise,Italy,Europe,Office,Desk Organizer,1,40.28,0.0,14.66,Credit Card,Cancelled
ORD-105609,2023-11-14,CUST-00630,Ahmed Brown,Small Business,Germany,Europe,Home & Kitchen,Storage Bin,2,67.94,0.0,16.56,Bank Transfer,Completed
ORD-105761,2024-01-14,CUST-00640,John Tanaka,Consumer,Brazil,South America,Electronics,USB-C Cable,1,30.48,0.15,15.6,Bank Transfer,Returned
ORD-103527,2024-10-05,CUST-00750,Elizabeth Silva,Consumer,United Kingdom,Europe,Beauty,Lip Balm,1,26.84,0.1,9.99,Credit Card,Completed
ORD-100722,2023-08-13,CUST-00251,Emma Garcia,Consumer,Canada,North America,Electronics,Headphones,1,89.79,0.0,3.51,Credit Card,Completed
ORD-101114,2024-12-02,CUST-00665,Chen Miller,Consumer,Germany,Europe,Apparel,Running Shoes,3,63.7,0.0,7.74,PayPal,Completed
ORD-102384,2024-01-09,CUST-00540,Olivia Zhang,Enterprise,United States,North America,Apparel,Wool Socks,1,71.38,0.0,6.02,Credit Card,Completed
ORD-103306,2024-05-03,CUST-00797,Wei Tanaka,Consumer,Spain,Europe,Home & Kitchen,Coffee Maker,1,87.81,0.0,2.63,Credit Card,Completed
ORD-105857,2023-10-09,CUST-00794,Sofia Muller,Small Business,Canada,North America,Home & Kitchen,Throw Pillow,1,102.25,0.0,22.68,Bank Transfer,Completed
ORD-106555,2024-02-13,CUST-00526,Carlos Jones,,Singapore,Asia,Beauty,Sunscreen SPF50,2,28.25,0.0,12.11,Debit Card,Completed
ORD-102199,2024-05-09,CUST-00402,Priya Tanaka,Consumer,United States,North America,Apparel,Denim Jacket,1,41.78,0.0,7.17,PayPal,Completed
ORD-100988,2024-04-27,CUST-00128,Tom Dubois,Small Business,Germany,Europe,Apparel,Baseball Cap,1,35.62,0.05,21.53,Credit Card,Completed
ORD-104854,2024-05-09,CUST-00731,Tom Williams,Consumer,India,Asia,Office,Desk Organizer,1,37.56,0.0,22.67,Gift Card,Completed
ORD-100836,2024-02-28,CUST-00546,,Consumer,Brazil,South America,Office,Pen Pack,1,18.57,0.0,22.87,Credit Card,Completed
ORD-106411,2024-07-09,CUST-00425,Fatima Davis,Consumer,United States,North America,Office,Standing Desk Mat,2,24.68,0.0,5.53,Debit Card,Completed
ORD-106229,2024-08-02,CUST-00109,Tom Costa,Small Business,Japan,Asia,Apparel,T-Shirt,4,75.04,0.0,19.39,Credit Card,Completed
ORD-101929,2023-11-04,CUST-00593,Tom Tanaka,Consumer,UNITED KINGDOM,Europe,Apparel,Baseball Cap,1,89.28,0.0,24.08,Credit Card,Completed
ORD-101911,2024-08-25,CUST-00655,Mia Zhang,Consumer,India,Asia,Electronics,Smartphone Case,1,57.4,0.0,16.76,Credit Card,Completed
ORD-106895,2023-11-22,CUST-00441,Linda Martinez,Consumer,United States,North America,Beauty,Shampoo,2,49.79,0.0,12.63,Credit Card,Returned
ORD-105249,2024-04-30,CUST-00165,Olivia Muller,Consumer,Japan,Asia,Home & Kitchen,Cutting Board,2,27.13,0.0,4.83,Gift Card,Completed
ORD-100537,2023-09-15,CUST-00254,Liam Martinez,Small Business,United States,North America,Electronics,Bluetooth Speaker,1,211.23,0.0,10.19,Credit Card,Returned
ORD-101096,2024-05-03,CUST-00747,Tom Davis,Consumer,United Kingdom,Europe,Electronics,Laptop Stand,1,148.04,0.0,19.97,Bank Transfer,Returned
ORD-103034,2023-04-15,CUST-00330,Noah Johnson,Consumer,Japan,Asia,Home & Kitchen,Cutting Board,1,33.82,0.0,21.75,Credit Card,Completed
ORD-105686,2024-06-16,CUST-00358,Tom Silva,Consumer,Brazil,South America,Home & Kitchen,Cutting Board,1,78.3,0.0,10.24,Credit Card,Completed
ORD-105867,2023-09-05,CUST-00027,Patricia Zhang,,Italy,Europe,Beauty,Hair Dryer,1,26.3,0.15,10.08,Credit Card,Completed
ORD-102135,2024-04-13,CUST-00207,James Williams,Consumer,Japan,Asia,Apparel,Baseball Cap,1,74.46,0.15,7.77,Credit Card,Completed
ORD-101376,2024-04-06,CUST-00004,Chen Martinez,Consumer,Brazil,South America,Sports & Outdoors,Resistance Bands,1,87.8,0.0,6.59,Debit Card,Completed
ORD-102375,2024-03-21,CUST-00498,Fatima Costa,Small Business,Japan,Asia,Home & Kitchen,Cutting Board,1,79.46,0.1,13.62,Credit Card,Completed
ORD-103364,2023-12-03,CUST-00799,Elizabeth Zhang,Enterprise,Canada,North America,Home & Kitchen,Coffee Maker,1,92.71,0.0,12.82,Credit Card,Completed
ORD-100622,2023-12-24,CUST-00268,Fatima Miller,Enterprise,Spain,Europe,Home & Kitchen,Cutting Board,1,49.67,0.0,15.42,Credit Card,Completed
ORD-104018,2024-10-06,CUST-00037,Robert Johnson,Enterprise,Germany,Europe,Electronics,USB-C Cable,1,37.97,0.0,15.75,PayPal,Cancelled
ORD-101773,2024-05-16,CUST-00485,Mia Rossi,Enterprise,United Kingdom,Europe,Home & Kitchen,Throw Pillow,2,121.1,0.0,17.31,Debit Card,Completed
ORD-100564,2024-07-27,CUST-00433,Emma Johnson,Consumer,India,Asia,Sports & Outdoors,Resistance Bands,2,64.38,0.0,5.18,Credit Card,Completed
ORD-105076,2024-07-18,CUST-00075,Emma Muller,Enterprise,United Kingdom,Europe,Beauty,Hair Dryer,1,42.98,0.0,15.9,Gift Card,Cancelled
ORD-101831,2024-04-03,CUST-00212,Mary Davis,Consumer,United States,North America,Beauty,Hair Dryer,2,33.32,0.0,4.15,Credit Card,Completed
ORD-101484,2023-06-03,CUST-00421,Sofia Smith,,United Kingdom,Europe,Apparel,T-Shirt,1,19.28,0.1,23.82,Debit Card,Completed
ORD-102001,2024-04-28,CUST-00842,Hiro Silva,Enterprise,United States,North America,Apparel,T-Shirt,1,54.12,0.0,3.02,Debit Card,Completed
ORD-102205,2024-06-20,CUST-00359,Chen Rossi,Consumer,France,Europe,Electronics,Bluetooth Speaker,1,184.98,0.1,14.71,Credit Card,Completed
ORD-103862,2024-07-24,CUST-00043,Jennifer Miller,Consumer,United States,North America,Apparel,T-Shirt,1,76.74,0.0,4.94,PayPal,Completed
ORD-102200,2023-06-27,CUST-00177,,Consumer,India,Asia,Sports & Outdoors,Hiking Backpack,2,51.01,0.05,23.18,Gift Card,Completed
ORD-104165,2023-11-28,CUST-00641,Raj Martinez,Consumer,Germany,Europe,Apparel,Baseball Cap,1,69.13,0.0,17.03,Gift Card,Completed
ORD-104175,2024-06-21,CUST-00013,Sofia Williams,Consumer,Canada,North America,Apparel,T-Shirt,1,42.91,0.0,19.28,Credit Card,Completed
ORD-104321,2024-09-11,CUST-00027,Patricia Zhang,Small Business,Italy,Europe,Beauty,Lip Balm,3,26.34,0.0,21.53,Debit Card,Completed
ORD-105213,2024-11-13,CUST-00569,Mia Martinez,Enterprise,United States,North America,Office,Notebook Set,2,18.31,0.1,7.07,Bank Transfer,Completed
ORD-100141,2023-09-07,CUST-00797,Wei Tanaka,Consumer,Spain,Europe,Apparel,Denim Jacket,1,13.05,0.0,11.84,Credit Card,Completed
ORD-104028,2024-05-18,CUST-00562,Lucas Garcia,Consumer,Canada,North America,Beauty,Face Serum,4,54.68,0.0,6.84,Debit Card,Completed
ORD-102453,2024-02-14,CUST-00085,David Martinez,Consumer,Canada,North America,Home & Kitchen,Coffee Maker,1,42.3,0.0,4.49,Credit Card,Completed
